Name	InChIKey	SMILES	RT
Cyanidin-3-O-alpha-arabinoside	KUCVMQMKRICXJC-UHFFFAOYNA-O	OC1COC(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC=C(O)C(O)=C2)C(O)C1O	3.01
Pelargonidin-3,5-di-beta-D-glucoside	SLCKJKWFULXZBD-UHFFFAOYNA-O	OCC1OC(OC2=CC(O)=CC3=C2C=C(OC2OC(CO)C(O)C(O)C2O)C(=[O+]3)C2=CC=C(O)C=C2)C(O)C(O)C1O	2.71
Cyanidin-3,5-di-O-glucoside	RDFLLVCQYHQOBU-UHFFFAOYNA-O	OCC1OC(OC2=CC(O)=CC3=[O+]C(=C(OC4OC(CO)C(O)C(O)C4O)C=C23)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O	2.5
Peonidin-3,5-O-di-beta-glucoside	IPVSUYLZIAYTOK-UHFFFAOYNA-O	COC1=C(O)C=CC(=C1)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C2C(OC3OC(CO)C(O)C(O)C3O)=CC(O)=CC2=[O+]1	2.79
Malvidin-3,5-di-O-glucoside	CILLXFBAACIQNS-UHFFFAOYNA-O	COC1=CC(=CC(OC)=C1O)C1=C(OC2OC(CO)C(O)C(O)C2O)C=C2C(OC3OC(CO)C(O)C(O)C3O)=CC(O)=CC2=[O+]1	2.81
Cyanidin-3-O-sambubioside-5-O-glucoside	OLBLWNPOURNBCY-UHFFFAOYNA-O	OCC1OC(OC2=CC(O)=CC3=[O+]C(=C(OC4OC(CO)C(O)C(O)C4OC4OCC(O)C(O)C4O)C=C23)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O	2.49
Petunidin-3-O-beta-glucoside	CCQDWIRWKWIUKK-UHFFFAOYNA-O	COC1=CC(=CC(O)=C1O)C1=[O+]C2=C(C=C1OC1OC(CO)C(O)C(O)C1O)C(O)=CC(O)=C2	3.21
Malvidin-3-O-galactoside	PXUQTDZNOHRWLI-UHFFFAOYNA-O	COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1OC1OC(CO)C(O)C(O)C1O	3.16
Delphinidin-3-O-sambubioside	TWYYVOVDSNRIJM-UHFFFAOYNA-O	OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(OC2OCC(O)C(O)C2O)C(O)C1O	2.65
Cyanidin 3-(2G-glucosylrutinoside)	MSUVUDCULKNUJL-UHFFFAOYNA-O	CC1OC(OCC2OC(OC3=C([O+]=C4C=C(O)C=C(O)C4=C3)C3=CC(O)=C(O)C=C3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O	2.75
Indole-3-acetyl-L-phenylalanine	BUGQHORRADGONS-UHFFFAOYNA-N	OC(CC1=CNC2=CC=CC=C12)=NC(CC1=CC=CC=C1)C(O)=O	6.34
Captopril	FAKRSMQSSFJEIM-UHFFFAOYNA-N	CC(CS)C(=O)N1CCCC1C(O)=O	4.05
Indole-3-acetyl-L-alanine	FBDCJLXTUCMFLF-UHFFFAOYNA-N	CC(NC(=O)CC1=CNC2=C1C=CC=C2)C(O)=O	4.55
Indole-3-acetyl-L-valine	AZEGJHGXTSUPPG-UHFFFAOYNA-N	CC(C)C(NC(=O)CC1=CNC2=CC=CC=C12)C(O)=O	5.61
Indole-3-acetyl-L-tryptophan	FOSPCYZZRVNHJS-UHFFFAOYNA-N	OC(CC1=CNC2=CC=CC=C12)=NC(CC1=CNC2=CC=CC=C12)C(O)=O	6.19
Indole-3-acetyl-L-leucine	HCZNPUHZYPPINM-UHFFFAOYNA-N	CC(C)CC(NC(=O)CC1=CNC2=C1C=CC=C2)C(O)=O	6.2
Kainic acid	VLSMHEGGTFMBBZ-UHFFFAOYNA-N	CC(=C)C1CNC(C1CC(O)=O)C(O)=O	2.44
Indole-3-acetyl-L-isoleucine	WPTUQMUCTTVOFW-UHFFFAOYNA-N	CCC(C)C(N=C(O)CC1=CNC2=CC=CC=C12)C(O)=O	6.14
12-Cytisineacetamide	MRVHCCZFXHOQOT-UHFFFAOYNA-N	NC(=O)CN1CC2CC(C1)C1=CC=CC(=O)N1C2	2.18
Tetrahydroalstonine	GRTOGORTSDXSFK-UHFFFAOYNA-N	COC(=O)C1=COC(C)C2CN3CCC4=C(NC5=C4C=CC=C5)C3CC12	4.87
Corynanthine	BLGXFZZNTVWLAY-UHFFFAOYNA-N	COC(=O)C1C(O)CCC2CN3CCC4=C(NC5=C4C=CC=C5)C3CC12	4.35
Isoreserpin	QEVHRUUCFGRFIF-UHFFFAOYNA-N	COC1C(CC2CN3CCC4=C(NC5=C4C=CC(OC)=C5)C3CC2C1C(=O)OC)OC(=O)C1=CC(OC)=C(OC)C(OC)=C1	6.12
Syrosingopine	ZCDNRPPFBQDQHR-UHFFFAOYNA-N	CCOC(=O)OC1=C(OC)C=C(C=C1OC)C(=O)OC1CC2CN3CCC4=C(NC5=CC(OC)=CC=C45)C3CC2C(C1OC)C(=O)OC	6.72
Speciosine	SOFSXTKPGSIDCI-UHFFFAOYNA-N	COC1=C(OC)C(OC)=C2C(CCC(N(C)CC3=C(O)C=CC=C3)C3=CC(=O)C(OC)=CC=C23)=C1	5.03
Homatropine	ZTVIKZXZYLEVOL-UHFFFAOYNA-N	CN1C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1	3.15
Hyoscyamine	RKUNBYITZUJHSG-UHFFFAOYNA-N	CN1C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1	3.59
Vincanidine	JDOFCMASVRMYJU-UHFFFAOYNA-N	CC=C1CN2CCC34C2CC1C(C=O)=C3NC1=C4C=CC=C1O	3.38
Tubotaiwine	RLAKWLFUMAABBE-UHFFFAOYNA-N	CCC1C2N3CCC22C(NC4=C2C=CC=C4)=C(C1CC3)C(=O)OC	4.92
Strychnine	QMGVPVSNSZLJIA-UHFFFAOYNA-N	O=C1CC2OCC=C3CN4CCC56C4CC3C2C5N1C1=CC=CC=C61	3.46
19S-Methoxytubotaiwine	LTOOPESWVADEAE-UHFFFAOYNA-N	COC(C)C1C2N3CCC22C(NC4=C2C=CC=C4)=C(C1CC3)C(=O)OC	4.55
Sparteine	SLRCCWJSBJZJBV-UHFFFAOYNA-N	C1CCN2CC3CC(CN4CCCCC34)C2C1	2.33
Ethylrhoeagenine	RKBDCPZCGRWNMP-UHFFFAOYNA-N	CCOC1OC2C(N(C)CCC3=C2C=C2OCOC2=C3)C2=C1C1=C(OCO1)C=C2	5.15
Desoxypeganine	WUFQLZTXIWKION-UHFFFAOYSA-N	C1CN2CC3=C(C=CC=C3)N=C2C1	2.8
Deoxyvasicinone	VARHXCYGZKSOOO-UHFFFAOYSA-N	O=C1N2CCCC2=NC2=C1C=CC=C2	3.94
Vasicine	YIICVSCAKJMMDJ-UHFFFAOYNA-N	OC1CCN2CC3=C(C=CC=C3)N=C12	2.55
Sanguinarine	INVGWHRKADIJHF-UHFFFAOYSA-N	C[N+]1=CC2=C(C=CC3=C2OCO3)C2=C1C1=C(C=C2)C=C2OCOC2=C1	4.85
Chelerythrine	LLEJIEBFSOEYIV-UHFFFAOYSA-N	COC1=C(OC)C2=C(C=C1)C1=C(C3=C(C=C1)C=C1OCOC1=C3)[N+](C)=C2	5.3
Physostigmine	PIJVFDBKTWXHHD-UHFFFAOYNA-N	CNC(=O)OC1=CC=C2N(C)C3N(C)CCC3(C)C2=C1	3.31
Viridiflorine	BWQSLRZZOVFVHJ-UHFFFAOYNA-N	CC(C)C(O)(C(C)O)C(=O)OCC1CCN2CCCC12	3.05
Trachelanthine	DLNWZIVYKQXLTN-UHFFFAOYNA-N	CC(C)C(O)(C(C)O)C(=O)OCC1CC[N+]2([O-])CCCC12	3.11
Protopine	GPTFURBXHJWNHR-UHFFFAOYSA-N	CN1CCC2=CC3=C(OCO3)C=C2C(=O)CC2=C(C1)C1=C(OCO1)C=C2	4.36
Palmatine	QUCQEUCGKKTEBI-UHFFFAOYSA-N	COC1=CC2=C(C=C1OC)C1=CC3=CC=C(OC)C(OC)=C3C=[N+]1CC2	4.96
Dehydrocorydaline	RFKQJTRWODZPHF-UHFFFAOYSA-N	COC1=CC2=C(C=C1OC)C1=C(C)C3=C(C=[N+]1CC2)C(OC)=C(OC)C=C3	5.19
(+)-Corydaline	VRSRXLJTYQVOHC-UHFFFAOYNA-N	COC1=C(OC)C=C2C3C(C)C4=C(CN3CCC2=C1)C(OC)=C(OC)C=C4	4.86
(-)-Podophyllotoxin	YJGVMLPVUAXIQN-UHFFFAOYNA-N	COC1=CC(=CC(OC)=C1OC)C1C2C(COC2=O)C(O)C2=C1C=C1OCOC1=C2	6.26
Etoposide	VJJPUSNTGOMMGY-UHFFFAOYNA-N	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2=C1C=C1OCOC1=C2	5.4
Convolvamine	AEFPCFUCFQBXDQ-UHFFFAOYNA-N	COC1=C(OC)C=C(C=C1)C(=O)OC1CC2CCC(C1)N2C	3.95
Tabersonine	FNGGIPWAZSFKCN-UHFFFAOYNA-N	CCC12CC(C(=O)OC)=C3NC4=CC=CC=C4C33CCN(CC=C1)C23	5.2
Neocuproine	IYRGXJIJGHOCFS-UHFFFAOYSA-N	CC1=NC2=C(C=C1)C=CC1=C2N=C(C)C=C1	3.47
Ormosanine	YUKCLPPRYNXRAF-UHFFFAOYNA-N	C1CCC(NC1)C12CC(CC3CCCNC13)C1CCCCN1C2	2.24
Napelline	AZAZKLKDEOMJBJ-UHFFFAOYNA-N	CCN1CC2(C)CCC(O)C34C1C(CC23)C12CC(C(O)CC41)C(=C)C2O	3.05
Sinomenine	INYYVPJSBIVGPH-UHFFFAOYNA-N	COC1=CC2C3CC4=C(C(O)=C(OC)C=C4)C2(CCN3C)CC1=O	3.03
Convolidine	GWWGRYGNRKFSSX-UHFFFAOYNA-N	COC1=C(O)C=CC(=C1)C(=O)OC1CC2CCC(C1)N2	3.27
Matrine	ZSBXGIUJOOQZMP-UHFFFAOYNA-N	O=C1CCCC2C3CCCN4CCCC(CN12)C34	2.26
Koumidine	VXTDUGOBAOLMED-UHFFFAOYNA-N	CC=C1CN2C3CC4=C(NC5=CC=CC=C45)C2CC1C3CO	3.58
Gardnutine	XJTWLFBHBFSVRS-UHFFFAOYNA-N	COC1=CC=C2C(NC3=C2C2OCC4C2N2CC(=CC)C4CC32)=C1	4.42
Gardnerine	RBALEJFQJCAPLN-UHFFFAOYNA-N	COC1=CC=C2C(NC3=C2CC2C(CO)C4CC3N2CC4=CC)=C1	3.68
Hydroxygardnutine	OUONWRIEOZGMSQ-UHFFFAOYNA-N	COC1=CC=C2C(NC3=C2C2OCC4C2N2CC(=CCO)C4CC32)=C1	3.6
Senecionine	HKODIGSRFALUTA-UHFFFAOYNA-N	CC=C1CC(C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23	3.8
Retrorsine	BCJMNZRQJAVDLD-UHFFFAOYNA-N	CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23	3.23
Puberanidine	VSUODASNSRJNCP-UHFFFAOYNA-N	CCN1CC2(CCC(OC)C34C5CC6C(OC)C5(O)C(O)(CC6OC)C(CC23)C14)OC(=O)C1=C(N)C=CC=C1	4.95
Coralyne	GOEJQGGEIVSVOK-UHFFFAOYSA-N	COC1=CC2=CC3=[N+](C=CC4=CC(OC)=C(OC)C=C34)C(C)=C2C=C1OC	5.27
Isoformosanine	JMIAZDVHNCCPDM-UHFFFAOYNA-N	COC(=O)C1=COC(C)C2CN3CCC4(C3CC12)C(=O)NC1=C4C=CC=C1	4.42
Rhynchophylline	DAXYUDFNWXHGBE-UHFFFAOYNA-N	CCC1CN2CCC3(C2CC1C(=COC)C(=O)OC)C(=O)NC1=CC=CC=C31	4.9
Isomajdine	TTZWEOINXHJHCY-UHFFFAOYNA-N	COC(=O)C1=COC(C)C2CN3CCC4(C3CC12)C(=O)NC1=C4C=CC(OC)=C1OC	4.48
Catharanthine	CMKFQVZJOWHHDV-UHFFFAOYNA-N	CCC1=CC2CN3CCC4=C(NC5=C4C=CC=C5)C(C2)(C13)C(=O)OC	5.04
Voacristine	OYMQKBZMKFJPMH-UHFFFAOYNA-N	COC(=O)C12CC3CC(C(C)O)C1N(C3)CCC1=C2NC2=CC=C(OC)C=C12	4.61
7alpha-Voacangine hydroxyindolenine	AVRFPRAAVSCSSZ-UHFFFAOYNA-N	CCC1CC2CN3CCC4(O)C5=CC(OC)=CC=C5N=C4C(C2)(C13)C(=O)OC	4.01
(+)-Chelidonine	GHKISGDRQRSCII-UHFFFAOYNA-N	CN1CC2=C3OCOC3=CC=C2C2C(O)CC3=CC4=C(OCO4)C=C3C12	4.53
Harmane	PSFDQSOCUJVVGF-UHFFFAOYSA-N	CC1=NC=CC2=C1NC1=C2C=CC=C1	3.7
Ethylbeta-carboline	YTQRHYCHEIXUIU-UHFFFAOYSA-N	CCC1=NC=CC2=C1NC1=CC=CC=C21	4.01
Harmol	SATMZMMKDDTOSQ-UHFFFAOYSA-N	CC1=C2NC3=C(C=CC(O)=C3)C2=CC=N1	3.18
Harmalol	CRQDWQWZCNKKAC-UHFFFAOYSA-N	CC1=C2NC3=CC(=O)C=CC3=C2CCN1	3.06
Harmine	BXNJHAXVSOCGBA-UHFFFAOYSA-N	COC1=CC=C2C(NC3=C2C=CN=C3C)=C1	4.11
Gelsemine	NFYYATWFXNPTRM-UHFFFAOYNA-N	CN1CC2(C=C)C3CC4OCC3C1C2C41C(=O)NC2=C1C=CC=C2	3.21
Gelsevirine	SSSCMFCWHWCCEH-UHFFFAOYNA-N	CON1C(=O)C2(C3C4C5COC2CC5C3(CN4C)C=C)C2=C1C=CC=C2	4.05
Humantenine	SJKRPUOXUNOPOP-UHFFFAOYNA-N	CON1C(=O)C2(CC3C4COC2CC4C(CN3C)=CC)C2=C1C=CC=C2	4.63
Cephaeline	DTGZHCFJNDAHEN-UHFFFAOYNA-N	CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1NCCC2=CC(O)=C(OC)C=C12	2.98
Emetine	AUVVAXYIELKVAI-UHFFFAOYNA-N	CCC1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1CC1NCCC2=CC(OC)=C(OC)C=C12	3.41
(-)-Eburnamonine	WYJAPUKIYAZSEM-UHFFFAOYNA-N	CCC12CCCN3CCC4=C(C13)N(C1=C4C=CC=C1)C(=O)C2	4.65
14,15-Dehydro-16-epi-vincamine	BQGJXFQCMYJENQ-UHFFFAOYNA-N	CCC12CC(O)(N3C4=CC=CC=C4C4=C3C1N(CC4)CC=C2)C(=O)OC	4.26
Vincamine	RXPRRQLKFXBCSJ-UHFFFAOYNA-N	CCC12CCCN3CCC4=C(C13)N(C1=C4C=CC=C1)C(O)(C2)C(=O)OC	4.5
(+)-Tubocurarine chloride	JFJZZMVDLULRGK-UHFFFAOYNA-O	COC1=C(O)C2=C3C(CC4=CC(OC5=C(OC)C=C6CCN(C)C(CC7=CC=C(O2)C=C7)C6=C5)=C(O)C=C4)[N+](C)(C)CCC3=C1	3.41
Yohimbic Acid	AADVZSXPNRLYLV-UHFFFAOYNA-N	OC1CCC2CN3CCC4=C(NC5=C4C=CC=C5)C3CC2C1C(O)=O	3.82
Hirsuteine	TZUGIFAYWNNSAO-UHFFFAOYNA-N	COC=C(C1CC2N(CCC3=C2NC2=CC=CC=C32)CC1C=C)C(=O)OC	5.68
Hirsutine	NMLUOJBSAYAYEM-UHFFFAOYNA-N	CCC1CN2CCC3=C(NC4=CC=CC=C34)C2CC1C(=COC)C(=O)OC	5.85
Mitragynine	LELBFTMXCIIKKX-UHFFFAOYNA-N	CCC1CN2CCC3=C(NC4=C3C(OC)=CC=C4)C2CC1C(=COC)C(=O)OC	5.54
Reserpic acid	JVHNBFFHWQQPLL-UHFFFAOYNA-N	COC1C(O)CC2CN3CCC4=C(NC5=C4C=CC(OC)=C5)C3CC2C1C(O)=O	3.89
7-Hydroxymitragynine	RYENLSMHLCNXJT-UHFFFAOYNA-N	CCC1CN2CCC3(O)C(=NC4=C3C(OC)=CC=C4)C2CC1C(=COC)C(=O)OC	4.26
Conessine	GPLGAQQQNWMVMM-UHFFFAOYNA-N	CC1C2CCC3C4CC=C5CC(CCC5(C)C4CCC23CN1C)N(C)C	3.35
Cinchonine	KMPWYEUPVWOPIM-UHFFFAOYNA-N	OC(C1CC2CCN1CC2C=C)C1=CC=NC2=CC=CC=C12	3.09
Quinidine	LOUPRKONTZGTKE-UHFFFAOYNA-N	COC1=CC=C2N=CC=C(C(O)C3CC4CCN3CC4C=C)C2=C1	3.31
Germbudine	LWSPRPDSPCBAKK-UHFFFAOYNA-N	CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(CC(O)C3C12O)C4(C)CCC5OC(=O)C(C)(O)C(C)O	4.65
Germinaline	CPINTEKYWNYXNP-UHFFFAOYNA-N	CCC(C)C(=O)OC1C(O)C2C(CN3CC(C)CCC3C2(C)O)C2CC34OC5(O)C(CC(O)C3C12O)C4(C)CCC5OC(=O)C(C)(O)C(C)OC(C)=O	5.04
Anabasamine	TZRDBHMKTWECOV-UHFFFAOYNA-N	CN1CCCCC1C1=CN=C(C=C1)C1=CN=CC=C1	2.37
Papaverine	XQYZDYMELSJDRZ-UHFFFAOYSA-N	COC1=CC=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1OC	4.49
Laudanosine	KGPAYJZAMGEDIQ-UHFFFAOYNA-N	COC1=CC=C(CC2N(C)CCC3=C2C=C(OC)C(OC)=C3)C=C1OC	4.26
Hetisine	PIWJSAMCEMZIDO-UHFFFAOYNA-N	CC12CN3C4CC56CC(=C)C7C(O)C5C3C(CC(O)C1)(C24)C6C7O	3.07
Guan-fu base Y	XGTNTUKODZZCGL-UHFFFAOYNA-N	CC(=O)OC1CC2(C)CN3C4CC56CC(=C)C7C(O)C5C(C1)(C24)C3C6(O)C7O	3.03
Pseudocopsinine	CZLWGXKWXLVFJU-UHFFFAOYNA-N	COC(=O)C1CC23CCCN4CCC5(C24)C2=CC=CC=C2NC15C3C	4.24
Subsessiline	RZBFPDQKWUWUCK-UHFFFAOYNA-N	COC(=O)C1=C2NC3=C(C=CC=C3)C22CCN3C2C2(CCOC2C24CC5CC67CCOC6CCN6CCC8(C76)C6=C(N(C2)C58OC34)C(OC)=CC=C6)C1	5.79
Kopsinine	IYLRRIUNGGQRTN-UHFFFAOYNA-N	COC(=O)C1CC23CCCN4CCC5(C24)C2=CC=CC=C2NC15CC3	3.92
Kopsinoline	KWXHCCIXBUPHTG-UHFFFAOYNA-N	COC(=O)C1CC23CCCN4(=O)CCC5(C24)C2=CC=CC=C2NC15CC3	4.18
11,12-Methylenedioxykopsinaline	JVIKUDVTJCANPX-UHFFFAOYNA-N	COC(=O)C1(O)CC23CCCN4CCC5(C24)C2=CC=C4OCOC4=C2NC15CC3	3.61
Remerine	JCTYWRARKVGOBK-UHFFFAOYNA-N	CN1CCC2=CC3=C(OCO3)C3=C2C1CC1=CC=CC=C31	4.89
Boldine	LZJRNLRASBVRRX-UHFFFAOYNA-N	COC1=CC2=C(CC3N(C)CCC4=CC(O)=C(OC)C2=C34)C=C1O	3.35
Nantenine	WSVWKHTVFGTTKJ-UHFFFAOYNA-N	COC1=C(OC)C2=C3C(CC4=C2C=C2OCOC2=C4)N(C)CCC3=C1	4.89
Isocorydine	QELDJEKNFOQJOY-UHFFFAOYNA-N	COC1=CC=C2CC3N(C)CCC4=C3C(=C(OC)C(OC)=C4)C2=C1O	3.92
Calycanthine	XSYCDVWYEVUDKQ-UHFFFAOYNA-N	CN1CCC23C4NC5=C(C=CC=C5)C2(CCN4C)C1NC1=C3C=CC=C1	2.57
DL-Coniine	NDNUANOUGZGEPO-UHFFFAOYNA-N	CCCC1CCCCN1	2.78
Pilocarpine	QCHFTSOMWOSFHM-UHFFFAOYNA-N	CCC1C(CC2=CN=CN2C)COC1=O	2.4
Piperine	MXXWOMGUGJBKIW-UHFFFAOYSA-N	O=C(C=CC=CC1=CC2=C(OCO2)C=C1)N1CCCCC1	7.84
Rinderine	SFVVQRJOGUKCEG-UHFFFAOYNA-N	CC(C)C(O)(C(C)O)C(=O)OCC1=CCN2CCC(O)C12	2.75
Seneciphyllin	FCEVNJIUIMLVML-UHFFFAOYNA-N	CC=C1CC(=C)C(C)(O)C(=O)OCC2=CCN3CCC(OC1=O)C23	3.45
Ajmaline	CJDRUOGAGYHKKD-UHFFFAOYNA-N	CCC1C2CC3C4N(C)C5=C(C=CC=C5)C44CC(C2C4O)N3C1O	4.13
Karakoline	HKQZUYOVMYOFIT-UHFFFAOYNA-N	CCN1CC2(C)CCC(O)C34C5CC6C(O)C5C(O)(CC6OC)C(CC23)C14	2.89
Isotalatizidine	RBSZCNOWHDHRFZ-UHFFFAOYNA-N	CCN1CC2(COC)CCC(O)C34C5CC6C(O)C5C(O)(CC6OC)C(CC23)C14	2.91
Lycoctonine	YOTUXHIWBVZAJQ-UHFFFAOYNA-N	CCN1CC2(CO)CCC(OC)C34C5CC6C(OC)C5C(O)(CC6OC)C(O)(C(OC)C23)C14	3.67
Anthranoyllycoctonine	NNDHDYDFEDRMGH-UHFFFAOYNA-N	CCN1CC2(COC(=O)C3=C(N)C=CC=C3)CCC(OC)C34C5CC6C(OC)C5C(O)(CC6OC)C(O)(C(OC)C23)C14	5.5
Hypaconitine	FIDOCHXHMJHKRW-UHFFFAOYNA-N	COCC12CCC(OC)C34C5CC6(O)C(OC(=O)C7=CC=CC=C7)C5C(OC(C)=O)(C(C(OC)C13)C4N(C)C2)C(O)C6OC	5.97
Mesaconitine	XUHJBXVYNBQQBD-UHFFFAOYNA-N	COCC12CN(C)C3C4C(OC)C1C3(C1CC3(O)C(OC(=O)C5=CC=CC=C5)C1C4(OC(C)=O)C(O)C3OC)C(CC2O)OC	5.61
Aconitine	XFSBVAOIAHNAPC-UHFFFAOYNA-N	CCN1CC2(COC)C3C(OC)C4C1C3(C1CC3(O)C(OC(=O)C5=CC=CC=C5)C1C4(OC(C)=O)C(O)C3OC)C(CC2O)OC	5.97
Acetylaconitine	RIPYIJVYDYCPKW-UHFFFAOYNA-N	CCN1CC2(COC)C3C(OC)C4C1C3(C1CC3(O)C(OC(=O)C5=CC=CC=C5)C1C4(OC(C)=O)C(O)C3OC)C(CC2OC(C)=O)OC	6.17
Petiline	QAGPPGDCPAPQLW-UHFFFAOYNA-N	CC(C1CCC2C3CC(=O)C4CC(O)CCC4(C)C3CCC12C)C1=NCC(C)CC1	4.95
Soyasaponin Bb	PTDAHAWQAGSZDD-UHFFFAOYNA-N	O=C(O)C8OC(OC2CCC3(C)(C4CC=C1C5CC(C)(C)CC(O)C5(C)(CCC1(C)C4(C)(CCC3(C2(C)(CO))))))C(OC7OC(CO)C(O)C(O)C7(OC6OC(C)C(O)C(O)C6(O)))C(O)C8(O)	7.09
Soyasaponin Ba	WFRQIKSNAYYUJZ-UHFFFAOYNA-N	O=C(O)C8OC(OC2CCC3(C)(C4CC=C1C5CC(C)(C)CC(O)C5(C)(CCC1(C)C4(C)(CCC3(C2(C)(CO))))))C(OC7OC(CO)C(O)C(O)C7(OC6OC(CO)C(O)C(O)C6(O)))C(O)C8(O)	6.97
Licoricesaponin G2	WBQVRPYEEYUEBQ-UHFFFAOYNA-N	O=C(O)C7OC(OC1C(OC(C(=O)O)C(O)C1(O))OC3CCC4(C)(C5C(=O)C=C2C6CC(C(=O)O)(C)CCC6(C)(CCC2(C)C5(C)(CCC4(C3(C)(CO))))))C(O)C(O)C7(O)	6.36
Disaccharide(Hex-Hex)	PVXPPJIGRGXGCY-UHFFFAOYNA-N	OCC2OC(OCC1OC(O)(CO)C(O)C1(O))C(O)C(O)C2(O)	1.74
Dihydroresveratrol	HITJFUSPLYBJPE-UHFFFAOYSA-N	OC1=CC=C(C=C1)CCC2=CC(O)=CC(O)=C2	5.15
alpha-Chaconine	TYNQWWGVEGFKRU-UHFFFAOYNA-N	OCC9OC(OC6CC5=CCC4C(CCC3(C)(C4(CC2N1CC(C)CCC1C(C)C23)))C5(C)CC6)C(OC7OC(C)C(O)C(O)C7(O))C(O)C9(OC8OC(C)C(O)C(O)C8(O))	5.01
alpha-Solanine	ZGVSETXHNHBTRK-UHFFFAOYNA-N	OCC9OC(OC8C(O)C(OC(OC6CC5=CCC4C(CCC3(C)(C4(CC2N1CC(C)CCC1C(C)C23)))C5(C)CC6)C8(OC7OC(C)C(O)C(O)C7(O)))CO)C(O)C(O)C9(O)	4.95
Solanidine	JVKYZPBMZPJNAJ-UHFFFAOYNA-N	OC6CC5=CCC4C(CCC3(C)(C4(CC2N1CC(C)CCC1C(C)C23)))C5(C)CC6	5.99
Sinapoyl aldehyde	CDICDSOGTRCHMG-UHFFFAOYSA-N	O=CC=CC=1C=C(OC)C(O)=C(OC)C=1	4.73
Kynurenic acid (not validated)	HCZHHEIFKROPDY-UHFFFAOYSA-N	O=C(O)C1=CC(=O)C2=CC=CC=C2(N1)	3.11
Chlorogenic acid	CWVRJTMFETXNAD-UHFFFAOYNA-N	O=C(OC1CC(O)(C(=O)O)CC(O)C1(O))C=CC=2C=CC(O)=C(O)C=2	3.13
Dicaffeoyl quinic acid	KRZBCHWVBQOTNZ-UHFFFAOYNA-N	O=C(OC2CC(O)(C(=O)O)CC(OC(=O)C=CC1=CC=C(O)C(O)=C1)C2(O))C=CC3=CC=C(O)C(O)=C3	4.6
Acetosyringone	OJOBTAOGJIWAGB-UHFFFAOYSA-N	O=C(C=1C=C(OC)C(O)=C(OC)C=1)C	4.31
Glutathione (not validated)	RWSXRVCMGQZWBV-UHFFFAOYNA-N	O=C(O)CNC(=O)C(NC(=O)CCC(N)C(=O)O)CS	1.52
S-(2-Carboxypropyl)glutathione	JQWABENXVMJJMW-UHFFFAOYNA-N	O=C(O)CNC(=O)C(NC(=O)CCC(N)C(=O)O)CSCC(C(=O)O)C	2.36
Glutamyl-S-methylcysteine	UPCDLBPYWXOCOK-UHFFFAOYNA-N	O=C(O)C(N)CCC(=O)NC(C(=O)O)CSC	2.02
FA 18:3+1O	JTEGNNHWOIJBJZ-UHFFFAOYNA-N	O=C(O)CCCCCCCC1OC1(CC=CCC=CCC)	9.14
FA 18:3+1O	LUZSWWYKKLTDHU-UHFFFAOYSA-N	O=C(O)CCCCCCCC(=O)C=CC=CCCCCC	10.13
Pantothenic acid (not validated)	GHOKWGTUZJEAQD-UHFFFAOYNA-N	O=C(O)CCNC(=O)C(O)C(C)(C)CO	2.48
Amino-nitro-toluene	DSBIJCMXAIKKKI-UHFFFAOYSA-N	O=[N+]([O-])C=1C=CC(=C(N)C=1)C	2.34
Fusaric acid (not validated)	DGMPVYSXXIOGJY-UHFFFAOYSA-N	O=C(O)C=1N=CC(=CC=1)CCCC	2.79
Aconitic acid (not validated, isomer of 273)	GTZCVFVGUGFEME-UHFFFAOYSA-N	O=C(O)C=C(C(=O)O)CC(=O)O	1.61
5'-S-Methyl-5'-thioadenosine	WUUGFSXJNOTRMR-UHFFFAOYNA-N	OC3C(O)C(OC3(N2C=NC=1C(=NC=NC=12)N))CSC	2.7
Uridine (not validated)	DRTQHJPVMGBUCF-UHFFFAOYNA-N	O=C1C=CN(C(=O)N1)C2OC(CO)C(O)C2(O)	1.8
Xanthosine (not validated)	UBORTCNDUKBEOP-UHFFFAOYNA-N	OC=1N=C(O)C=2N=CN(C=2(N=1))C3OC(CO)C(O)C3(O)	2.07
